name,tags
Farlight 84,"Battle Royale,Free to Play,Hero Shooter,Vehicular Combat,Sci-fi,Early Access,Shooter,MOBA,Multiplayer,Third-Person Shooter,Massively Multiplayer,Third Person,3D,Adventure,Post-apocalyptic,PvP,Action,Survival,Futuristic,Character Customization"
Demonologist,"Early Access,Horror,Multiplayer,Online Co-Op,Psychological Horror,Co-op,First-Person,Investigation,Surreal,Dark,Demons,Mystery,Detective,Indie,Cinematic,Thriller,3D,Action,Tactical,Lovecraftian"
Arma Reforger,"Early Access,Action,Simulation,Shooter,Strategy,Sandbox,FPS,Military,Realistic,First-Person,Real Time Tactics,Third Person,Tactical,War,Open World,Multiplayer,PvE,PvP,1980s,Cold War"
Portal 2,"Platformer,Puzzle,Dark Humor,First-Person,Story Rich,Puzzle Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure,Action,FPS,Co-op,Physics,Sci-fi,Level Editor,Science,Comedy,Atmospheric,Adventure"
,
Punch Club 2: Fast Forward,"Time Management,Resource Management,Martial Arts,Adventure,Cyberpunk,Management,Sports,Tactical RPG,Pixel Graphics,Strategy RPG,Turn-Based Tactics,Nostalgia,RPG,1980s,1990's,Life Sim,Funny,Arcade,Combat,Retro"
Frozenheim,"Strategy,Base Building,RTS,War,Medieval,Multiplayer,Grand Strategy,Real Time Tactics,Naval Combat,3D,Management,Stylized,Singleplayer,Fantasy,Vikings,Combat,Violent,Gore,Exploration,Historical"
ULTRAKILL,"Early Access,FPS,Arena Shooter,Spectacle fighter,Character Action Game,Blood,Retro,Fast-Paced,Singleplayer,Shooter,First-Person,Difficult,Action,Old School,Robots,3D,Silent Protagonist,Stylized,Sci-fi,Cyberpunk"
Stormworks: Build and Rescue,"Sandbox,Open World,Building,Flight,Exploration,Sailing,Programming,Open World Survival Craft,Survival,Immersive Sim,Base Building,Trains,Character Customization,PvP,Physics,Naval,First-Person,Tutorial,Automation,Crafting"
GTFO,"Online Co-Op,Horror,Co-op,FPS,Difficult,Shooter,Multiplayer,Survival Horror,Action,Stealth,Tactical,First-Person,Team-Based,Gore,Zombies,PvE,Character Customization,Atmospheric,Violent,Replay Value"
Cities: Skylines,"City Builder,Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Moddable,Economy,Resource Management,Mod,Realistic,Replay Value,Casual,Modern,Real-Time with Pause,Family Friendly,Great Soundtrack,Funny,Action"
Lost Light,"Free to Play,Shooter,Survival,Multiplayer,Action,Massively Multiplayer,Battle Royale,Third-Person Shooter,Gun Customization,FPS,PvP,Third Person,Looter Shooter,3D,Post-apocalyptic,Open World,Sandbox,War,Controller,Zombies"
No Man's Sky,"Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Multiplayer,Atmospheric,Crafting,Space Sim,Indie,Action,Simulation,FPS,VR"
ONE PIECE World Seeker,"Action,Adventure,Anime,Open World,Singleplayer,Pirates,Multiplayer,Fighting,Co-op,JRPG,RPG,Third Person,Story Rich,Fantasy,Sexual Content"
Arma 3,"Military,Action,Multiplayer,Simulation,Shooter,Realistic,First-Person,Open World,Tactical,FPS,War,Co-op,Strategy,Sandbox,Singleplayer,Moddable,Combat,Online Co-Op,Team-Based,Third-Person Shooter"
Ghost Watchers,"Horror,Co-op,Survival Horror,Multiplayer,Demons,Adventure,Puzzle,First-Person,Action-Adventure,Cinematic,Dark,Realistic,Detective,Online Co-Op,PvE,Team-Based,Nonlinear,Singleplayer,Early Access,VR"
The Surge 2,"Souls-like,RPG,Action,Open World,Violent,Sci-fi,Difficult,Singleplayer,Third Person,Cyberpunk,Character Customization,Multiplayer,Gore,Mechs,Hack and Slash,Action RPG,Female Protagonist,Robots,Nudity,Co-op"
The Break-In,"Early Access,Simulation,VR,Stealth,Crime,Multiplayer,Heist,Online Co-Op,Action,Horror,Funny,Exploration,Platformer,3D Platformer,Immersive Sim,Physics,Co-op,First-Person,Action-Adventure,Co-op Campaign"
Europa Universalis IV,"Grand Strategy,Historical,Simulation,Alternate History,Economy,Military,Strategy,Sandbox,Political,Diplomacy,Real-Time with Pause,Moddable,Replay Value,Nonlinear,Singleplayer,Management,Multiplayer,Resource Management,Education,Great Soundtrack"
The Long Drive,"Automobile Sim,Open World,Driving,Multiplayer,Survival,Post-apocalyptic,Exploration,First-Person,Singleplayer,Adventure,Simulation,Horror,Early Access,Indie,Realistic,Sexual Content,Action,Racing,Shooter,FPS"
ACE COMBAT™ 7: SKIES UNKNOWN,"Flight,Jet,Military,War,Shooter,Arcade,Cinematic,PvP,3D,Simulation,First-Person,Third Person,Action,Story Rich,Multiplayer,Great Soundtrack,Silent Protagonist,Singleplayer,Sci-fi,Realistic"
CarX Drift Racing Online,"Racing,Driving,Automobile Sim,Multiplayer,Simulation,Sports,Open World,Massively Multiplayer,Controller,Singleplayer,Arcade,VR,Realistic,Local Multiplayer,Co-op,Early Access,Casual,Mod,Games Workshop,Action"
iRacing,"Racing,Automobile Sim,Simulation,Sports,VR,Driving,Massively Multiplayer,Multiplayer,Realistic,Singleplayer,Controller,eSports,First-Person,Open World"
Beat Saber,"VR,Rhythm,Music,Moddable,Fast-Paced,Indie,First-Person,Singleplayer,Difficult,Multiplayer,Swordplay,Action,Sports,Futuristic,Casual,Music-Based Procedural Generation,Games Workshop,PvP,Early Access,Great Soundtrack"
Cult of the Lamb,"Base Building,Action Roguelike,Character Customization,Cute,Singleplayer,Roguelite,Dungeon Crawler,Dark Humor,Colony Sim,Building,Action,2D,Adventure,Funny,Faith,Fantasy,Controller,Strategy,Colorful,Third Person"
Soulstone Survivors,"Early Access,Action Roguelike,Action RPG,Bullet Hell,Roguelite,Arcade,Top-Down,Procedural Generation,Action,Roguelike,Score Attack,Colorful,Controller,Dark Fantasy,Twin Stick Shooter,RPG,Singleplayer,Crafting,Character Customization,Hack and Slash"
Inside the Backrooms,"Early Access,Horror,Multiplayer,Survival Horror,Puzzle,Psychological Horror,Adventure,Co-op,Online Co-Op,Exploration,First-Person,Atmospheric,FPS,3D,Dark,Mystery,Sci-fi,VR,Story Rich,PvE"
Stray,"Cats,Adventure,Cyberpunk,Atmospheric,Cute,Singleplayer,Exploration,Robots,Third Person,Beautiful,Puzzle,Horror,Sci-fi,Indie,Dystopian,Open World,Mystery,Colorful,Action,Stealth"
Tabletop Simulator,"Tabletop,Board Game,Simulation,Multiplayer,Sandbox,Card Game,Trading Card Game,VR,Physics,Casual,Moddable,3D,Strategy,Wargame,Online Co-Op,Co-op,RPG,Funny,First-Person,Indie"
eFootball™ 2023,"Football (Soccer),Free to Play,Sports,Multiplayer,eSports,Simulation,Controller,PvP,Local Multiplayer,Co-op,Online Co-Op,Local Co-Op,Singleplayer,Realistic,Comedy,Memes,Violent,LGBTQ+,Anime,Funny"
Voidtrain,"Open World Survival Craft,Survival,Multiplayer,Co-op,Open World,Base Building,Crafting,Adventure,Online Co-Op,First-Person,Exploration,Building,Atmospheric,Sandbox,Singleplayer,Action,Simulation,Early Access,Indie,Trains"
Geometry Dash,"Difficult,Music,Great Soundtrack,Precision Platformer,Level Editor,Rhythm,2D,Colorful,Singleplayer,Platformer,Character Customization,Arcade,Indie,Side Scroller,Action,Funny,Family Friendly,Casual,Strategy,Adventure"
Six Days in Fallujah,"Early Access,FPS,Military,Tactical,Shooter,First-Person,PvE,Wargame,Historical,Hero Shooter,Realistic,Co-op,Action,Team-Based,Nonlinear,Stealth,War,Drama,Emotional,Modern"
War Thunder,"Free to Play,Vehicular Combat,Combat,VR,World War II,Flight,War,Military,Tanks,Naval Combat,Modern,Simulation,Cold War,Massively Multiplayer,Action,Third-Person Shooter,Shooter,Third Person,Realistic,Historical"
Propnight,"Multiplayer,Horror,Action,Survival Horror,Online Co-Op,PvP,Co-op,3D,First-Person,Third Person,Stylized,Combat,Asynchronous Multiplayer,Funny,Survival,Casual,Adventure,Controller,Sexual Content,Indie"
Aliens: Dark Descent,"Strategy,Action,Tactical,RTS,Sci-fi,Action-Adventure,Singleplayer,Dark,3D,Space,Survival,Aliens,Horror,Violent,Real Time Tactics,Combat,Top-Down,Stealth,Isometric,Multiplayer"
Scrap Mechanic,"Building,Sandbox,Open World,Survival,Multiplayer,Crafting,Physics,Base Building,Co-op,Singleplayer,First-Person,Adventure,Third Person,Funny,Simulation,Early Access,Action,Indie,Moddable,Online Co-Op"
Assetto Corsa,"Racing,Automobile Sim,Simulation,Driving,Multiplayer,Realistic,VR,Sports,Moddable,Controller,Open World,Physics,Singleplayer,First-Person,Indie,Replay Value,Action,3D Vision,TrackIR,Artificial Intelligence"
EVERSPACE™ 2,"Space,Adventure,Flight,Spaceships,Simulation,6DOF,Action,Sci-fi,Action-Adventure,Story Rich,Singleplayer,Atmospheric,Open World,Action RPG,Shooter,Space Sim,Looter Shooter,Arcade,3D,RPG"
Ni no Kuni™ II: Revenant Kingdom,"RPG,JRPG,Anime,Adventure,Open World,Singleplayer,Fantasy,Story Rich,Cute,Action RPG,Great Soundtrack,Hack and Slash,Dungeon Crawler,Action,Strategy,City Builder,Cartoony,Exploration,Multiplayer,Survival"
Space Engineers,"Space,Sandbox,Building,Open World Survival Craft,Multiplayer,Survival,Simulation,Open World,Physics,Crafting,Destruction,Co-op,Futuristic,Indie,Sci-fi,Singleplayer,Action,Strategy,Adventure,Early Access"
Teardown,"Destruction,Physics,Sandbox,Voxel,First-Person,Heist,Open World,Singleplayer,Realistic,Simulation,3D,Action,Puzzle,Driving,Indie,Replay Value,Tactical,Immersive Sim,Puzzle Platformer,Runner"
World War Z,"Zombies,Multiplayer,Online Co-Op,Action,Co-op,Singleplayer,Shooter,Third-Person Shooter,PvE,FPS,Survival Horror,Gun Customization,Character Customization,Post-apocalyptic,Gore,First-Person,Violent,Combat,Third Person,Class-Based"
Half-Life: Alyx,"VR,FPS,Story Rich,Horror,Female Protagonist,Shooter,First-Person,Singleplayer,Action,Sci-fi,Atmospheric,Zombies,Beautiful,Aliens,Adventure,Futuristic,Psychological Horror,Memes,Great Soundtrack,Gore"
Rising Storm 2: Vietnam,"FPS,War,Realistic,Military,Multiplayer,Shooter,Tactical,Action,First-Person,Historical,Team-Based,Simulation,Gore,Cold War,Atmospheric,Singleplayer,Massively Multiplayer,Violent,Strategy,Indie"
Timberborn,"Early Access,City Builder,Colony Sim,Base Building,Survival,Building,Management,Resource Management,Automation,Sandbox,Economy,Singleplayer,Post-apocalyptic,Agriculture,Strategy,Level Editor,3D,Science,Top-Down,Voxel"
Karos,"Free to Play,RPG,Massively Multiplayer,MMORPG,Action,Open World,Multiplayer,Adventure,Action RPG,FPS,Fantasy,Gore,Female Protagonist,Strategy RPG,CRPG,Choose Your Own Adventure,3D,Demons,Magic,Dragons"
Volcanoids,"Open World Survival Craft,Open World,Survival,Exploration,Crafting,Shooter,Online Co-Op,Action,Multiplayer,Adventure,First-Person,Atmospheric,Simulation,Early Access,Sandbox,Steampunk,Base Building,Co-op,Singleplayer,Building"
Slime Rancher 2,"Early Access,Cute,Colorful,Relaxing,Open World,Singleplayer,First-Person,Adventure,Creature Collector,Simulation,Family Friendly,Casual,Female Protagonist,3D,Fantasy,Action-Adventure,Building,Multiplayer,FPS,Action"
Killing Floor,"FPS,Zombies,Co-op,Survival,Horror,Action,Multiplayer,Online Co-Op,Gore,Shooter,Team-Based,First-Person,Survival Horror,Moddable,Great Soundtrack,Class-Based,Singleplayer,Difficult,Comedy,Adventure"
DCS World Steam Edition,"Simulation,Flight,Free to Play,Multiplayer,Military,Realistic,War,Open World,VR,Singleplayer,Shooter,Action,Co-op,TrackIR,Sandbox,First-Person,Tanks,Strategy,Massively Multiplayer,FPS"
ARMORED CORE™ VI FIRES OF RUBICON™,"Mechs,3D,Third Person,Character Customization,Combat,Action,Post-apocalyptic,Robots,Multiplayer,Futuristic,Fast-Paced,Sci-fi,Soundtrack,Vehicular Combat,Souls-like,Singleplayer,Military,Co-op,Action-Adventure,Online Co-Op"
My Singing Monsters,"Simulation,Creature Collector,Casual,Farming Sim,Colony Sim,Cartoony,Cute,Collectathon,Colorful,2.5D,Family Friendly,Free to Play,Building,Dragons,Dinosaurs,Relaxing,Nature,Horror,Resource Management,PvE"
Lords Mobile,"Free to Play,Strategy,Massively Multiplayer,Gore,Anime,War,RPG,Multiplayer,LGBTQ+,NSFW,Memes,Illuminati,RTS,Casual,Family Friendly,Mature,MMORPG,Female Protagonist,World War II,Dating Sim"
IdleOn - The Idle MMO,"Idler,Management,Pixel Graphics,MMORPG,Crafting,RPG,Clicker,Resource Management,Sandbox,Massively Multiplayer,Casual,Simulation,Indie,Free to Play,Multiplayer,Character Customization,Early Access,Old School,Anime,PvE"
SCP: 5K,"Combat,Multiplayer,Online Co-Op,Singleplayer,Horror,FPS,Tactical,Shooter,Story Rich,First-Person,Early Access,Gun Customization,Lore-Rich,Realistic,Action,Stealth,America,Sandbox,PvE,PvP"
